ID_TRAIN,NB_EMPT,R_ATD,DUREE,PRT_VAL,AGE_D,REV_BT,REV_NET,TYP_RES,ST_EMPL,MNT_EPAR,NB_ER_6MS,NB_ER_12MS,NB_DEC_12MS,NB_OPER,NB_COUR,NB_INTR_1M,NB_INTR_12M,PIR_DEL,NB_DEL_30,NB_DEL_60,NB_DEL_90,MNT_PASS,MNT_ACT,MNT_AUT_REN,MNT_UTIL_REN,NB_SATI,TYP_FIN,MNT_DEMANDE,DEFAULT,PROFIT_LOSS
5000000,1,0.14,5,0.93,68,125000,88000,L,R,210676,0,0,0,8,6,0,0,0,0,0,0,148818,210676,500,440,4,AUTO,31500,0,1575
5000001,1,0.48,3,1,57,49000,36000,A,T,2026,4,7,0,5,4,0,0,0,0,0,0,0,323502,4000,0,4,AUTO,16800,0,840
5000002,1,0.49,7,1,19,57000,39000,P,R,430,0,0,0,9,9,0,0,0,0,0,0,2805,430,21500,9022,9,AUTO,22200,0,1110
5000003,1,0.33,3,0.95,58,173000,113000,P,R,121453,2,2,0,5,2,0,0,0,0,0,0,52870,121453,4500,476,4,AUTO,6000,0,300
5000004,2,0.16,5,0.98,42,66000,51000,L,T,5665,3,4,0,3,1,0,0,0,0,0,0,441824,748303,8500,3613,3,AUTO,19600,0,980
5000005,1,0.02,2,1,29,43000,24000,L,R,2245,0,0,0,13,5,0,0,0,0,0,0,8151,2245,3500,248,10,AUTO,30200,0,1510
5000006,1,0.36,4,1,32,124000,87000,L,T,186645,0,0,0,6,6,1,1,0,0,0,0,16622,319459,2000,1999,1,AUTO,25100,0,1255
5000007,1,0.23,2,1,47,148000,116000,L,R,85085,0,0,0,6,0,0,0,0,0,0,0,931,85085,0,0,5,AUTO,38500,0,1925
5000008,1,0.2,5,1,23,48000,29000,L,R,15699,0,0,0,6,5,0,0,0,0,0,0,7533,15699,1000,999,4,AUTO,29800,1,-29584.70013
5000009,1,0.33,2,0.67,46,52000,36000,L,P,4850,0,0,0,6,4,0,0,0,0,0,0,11063,4850,1000,281,6,AUTO,31300,0,1565
5000010,1,0.04,5,1,43,65000,53000,P,P,34315,0,0,0,4,3,0,0,0,0,0,0,838,88690,3500,2550,3,AUTO,6600,0,330
5000011,1,0.37,5,1,45,106000,78000,L,P,147084,0,0,0,11,9,0,0,0,0,0,0,191152,228799,1500,1499,8,AUTO,5600,0,280
5000012,2,0.62,7,0.96,19,10000,8000,L,,724,3,3,2,1,1,0,0,0,0,0,0,21236,724,11000,10999,1,AUTO,18400,0,920
5000013,1,0.56,5,1,20,33000,28000,L,,44554,0,0,0,10,1,3,3,0,0,1,0,131478,133271,18000,0,9,AUTO,37500,0,1875
5000014,1,0.6,6,1,19,46000,26000,L,,12053,0,0,0,14,1,0,0,0,0,0,0,2982,12053,7500,1700,13,AUTO,27300,0,1365
5000015,2,0.01,1,0.44,24,157000,98000,A,R,6508,0,0,0,6,5,0,0,0,0,0,0,2193,6508,5000,1697,5,AUTO,35300,0,1765
5000016,1,0.22,7,0.61,24,10000,8000,P,,148160,0,0,0,7,7,0,0,0,0,0,0,21597,148160,3000,246,6,AUTO,34300,0,1715
5000017,1,0.39,2,0.96,45,86000,56000,L,R,91192,0,0,0,6,4,0,0,0,0,0,0,48063,334921,5000,0,5,AUTO,14200,0,710
5000018,1,0.19,1,1,47,146000,124000,P,R,202987,0,0,0,10,9,0,0,0,0,0,0,0,202987,5000,0,8,AUTO,25600,0,1280
5000019,1,0.43,7,1,39,66000,51000,P,T,2965,0,0,0,5,3,0,0,0,0,0,0,4562,8106,12000,5708,4,AUTO,32600,0,1630
5000020,1,0.34,2,1,31,66000,38000,P,P,189545,0,0,0,7,5,0,0,0,0,0,0,2374,189545,3000,469,4,AUTO,12600,0,630
5000021,1,0.4,3,1,18,58000,50000,L,R,118726,0,0,0,13,0,0,0,0,0,0,0,62142,953052,0,0,11,AUTO,28500,0,1425
5000022,1,0.54,5,0.99,27,7000,6000,L,R,99470,0,0,0,7,6,0,0,2,0,0,0,9354,99470,7500,4692,7,AUTO,17200,0,860
5000023,1,0.36,5,1,44,84000,53000,A,R,68197,0,0,0,5,4,0,0,0,0,0,0,193274,735206,14000,64,3,AUTO,5200,0,260
5000024,1,0.1,5,0.47,26,47000,34000,A,R,6000,1,1,0,8,7,0,0,0,0,0,0,340394,342424,6500,2240,7,AUTO,22700,0,1135
5000025,1,0.47,7,1,40,58000,33000,A,T,5027,2,2,0,4,1,0,0,1,0,0,0,19306,5027,1000,340,4,AUTO,6100,1,-5314.779732
5000026,1,0.33,1,1,78,67000,50000,A,R,14329,0,0,0,5,4,0,0,0,0,0,0,4790,14329,1000,283,5,AUTO,18300,0,915
5000027,1,0.51,3,1,32,122000,104000,L,P,56596,0,0,3,7,6,0,0,0,0,0,0,13920,56596,1000,947,5,AUTO,5500,0,275
5000028,1,0.23,2,1,69,137000,121000,L,R,231819,0,0,1,4,4,0,0,0,0,0,0,148605,244274,500,116,4,AUTO,24700,0,1235
5000029,1,0.15,4,0.78,49,150000,127000,L,R,19958,0,0,1,9,8,0,0,0,1,0,0,2828,111072,5000,1623,7,AUTO,25100,0,1255
5000030,2,0.16,1,0.76,18,91000,69000,L,P,35765,0,0,0,7,1,0,0,0,5,0,0,203931,324244,1000,1000,6,AUTO,20000,0,1000
5000031,1,0.23,5,0.75,26,53000,46000,P,T,58763,0,0,0,9,9,0,0,0,0,0,0,21707,58763,500,0,9,AUTO,5300,0,265
5000032,1,0.37,5,1,62,47000,39000,P,R,210157,0,0,0,10,9,0,0,0,0,0,0,90255,308214,5500,2069,9,AUTO,35900,0,1795
5000033,2,0.25,1,1,24,98000,65000,A,R,1053,0,0,0,8,7,0,0,0,0,0,0,81146,110749,8000,2776,5,AUTO,26700,0,1335
5000034,1,0.35,7,1,54,41000,29000,P,P,30347,0,0,0,4,2,1,1,0,0,0,0,2956,90031,500,0,3,AUTO,15000,0,750
5000035,1,0.4,5,1,59,42000,36000,L,R,17353,0,0,0,10,9,0,0,0,0,0,0,15242,17353,2500,345,9,AUTO,18200,0,910
5000036,1,0.21,2,0.99,27,113000,70000,P,P,45902,0,2,0,5,5,0,0,0,0,0,0,23109,45902,10000,6910,1,AUTO,25900,0,1295
5000037,2,0.51,7,1,28,65000,57000,L,P,67115,0,0,0,4,4,0,0,0,0,0,0,836,83360,14000,14000,3,AUTO,33400,0,1670
5000038,1,0.04,3,0.58,36,38000,24000,L,T,17033,1,1,0,8,6,0,0,0,0,0,0,176,17033,4000,1448,7,AUTO,27200,0,1360
5000039,1,0.43,4,0.94,58,107000,67000,A,R,11561,0,0,0,8,2,0,0,0,0,0,0,41964,154489,500,4,7,AUTO,34600,0,1730
5000040,1,0.02,3,0.41,48,152000,130000,P,P,163645,0,0,0,8,5,0,0,0,0,0,0,96690,345693,6500,930,7,AUTO,25700,0,1285
5000041,1,0.47,5,1,19,20000,12000,L,R,1688,0,0,0,9,8,0,0,0,0,0,0,196898,310858,20000,12836,8,AUTO,29700,0,1485
5000042,1,0.27,1,0.92,27,98000,81000,L,P,222409,0,0,0,7,7,0,0,0,0,0,0,4938,222409,1000,114,6,AUTO,12100,0,605
5000043,2,0.39,5,1,29,41000,22000,L,R,90,0,3,5,6,5,0,0,0,0,0,0,134637,138116,28500,28500,5,AUTO,29800,0,1490
5000044,1,0.29,4,0.66,21,37000,31000,L,P,13039,0,0,0,10,3,0,0,0,0,0,0,204111,616866,1000,999,5,AUTO,35900,0,1795
5000045,1,0.18,5,0.4,21,91000,71000,L,R,23922,0,0,0,12,5,0,0,0,0,0,0,2893,168955,500,500,8,AUTO,23100,0,1155
5000046,1,0.37,7,0.67,22,51000,30000,L,R,28609,0,0,0,3,1,0,0,0,1,5,0,5920,28609,19000,11093,2,AUTO,20700,0,1035
5000047,1,0.04,6,0.6,28,37000,28000,P,R,85270,0,0,0,9,3,0,0,0,0,0,0,8121,85270,16000,0,8,AUTO,7800,0,390
5000048,1,0.36,7,1,41,64000,35000,L,R,69445,2,2,0,5,4,0,0,0,0,0,0,2381,69445,10000,2085,4,AUTO,25700,0,1285
5000049,1,0.19,1,0.44,35,62000,41000,A,T,5014,0,0,0,8,2,0,0,0,0,0,0,193139,213946,500,0,6,AUTO,34600,0,1730
5000050,1,0.33,7,0.81,42,104000,73000,A,R,26192,0,0,0,1,0,0,0,0,0,0,0,13723,35392,0,0,1,AUTO,12100,0,605
